roof_id,country,complexity,feature_roof,digital_takeoff_minutes,real_takeoff_minutes,digital_pitch_deg,real_pitch_deg,measurement_type,measurement_no,digital_measurement,real_measurement,unit,difference,signed_variance_percent,absolute_variance_percent,notes
US-04,United States,,,,,,,Barge,2,3.43,3.1,m,0.33,10.645,10.645,
US-05,United States,Medium,,2:58,8:33,19,20,Roof Area,,195.04,202.2,m²,-7.16,-3.541,3.541,
US-05,United States,,,,,,,Ridge,1,2.56,2.6,m,-0.04,-1.538,1.538,
US-05,United States,,,,,,,Ridge,2,5.01,5,m,0.01,0.2,0.2,
US-05,United States,,,,,,,Ridge,3,3.4,3.5,m,-0.1,-2.857,2.857,
US-05,United States,,,,,,,Hip,1,7.53,7.5,m,0.03,0.4,0.4,
US-05,United States,,,,,,,Hip,2,7.4,7.5,m,-0.1,-1.333,1.333,
US-05,United States,,,,,,,Hip,3,1.04,1.1,m,-0.06,-5.455,5.455,
US-05,United States,,,,,,,Hip,4,7.93,7.4,m,0.53,7.162,7.162,
US-05,United States,,,,,,,Hip,5,7.05,7.4,m,-0.35,-4.73,4.73,
US-05,United States,,,,,,,Hip,6,1.51,1.4,m,0.11,7.857,7.857,
US-05,United States,,,,,,,Valley,1,5.23,5.3,m,-0.07,-1.321,1.321,
US-05,United States,,,,,,,Valley,2,7.34,7.2,m,0.14,1.944,1.944,
US-05,United States,,,,,,,Barge,1,4.27,4.2,m,0.07,1.667,1.667,
US-05,United States,,,,,,,Barge,2,4.03,4.2,m,-0.17,-4.048,4.048,
